Key,English Text,Russian Translation
"EP-A2A7-BASE-002.v1","Emotions can arrive quickly for you - clear, vivid, and hard to ignore. The upside is honesty: you often know what you feel in the moment, and it moves through you rather than staying stuck.",""
"EP-A2A7-BASE-002.v2","You may notice fast activation and release in your experience. Your A2 axis shapes how this pattern shows up for you.",""
"EP-A2A7-BASE-002.v3","Your emotional system tends to respond in real time. You’re often aware of what you’re feeling right away, and you recover faster when you let the emotion have its moment instead of suppressing it.",""
"EP-A2A7-BASE-003.v1","You often feel emotionally steady, and you don’t shift moods without a reason. At times, the first sign something is wrong is subtle - your body or patience notices it before your mind fully does.",""
"EP-A2A7-BASE-003.v2","Your default emotional state tends to be consistent. You may not register small changes immediately, but when a feeling becomes clear, it usually points to something important.",""
"EP-A2A7-BASE-003.v3","It can take a while for emotions to ‘arrive’ for you. You’re often calm in the moment, and then later you realize what that situation actually meant to you.",""
"EP-A2A7-BASE-004.v1","You tend to pick up emotional signals in your environment - tone, distance, tension - sometimes before anyone says a word. That sensitivity can make you deeply attuned, but it can also feel like you’re carrying more than what is yours.",""
"EP-A2A7-BASE-004.v2","You may notice high sensitivity to emotional atmosphere in your experience. Your A2 axis shapes how this pattern shows up for you.",""
"EP-A2A7-BASE-004.v3","You often read the room instinctively. When things are calm, it feels supportive; when the atmosphere is charged, it can quietly drain you even if nothing ‘happens’ on the surface.",""
"EP-A2A7-BASE-005.v1","You often feel first and make sense of it second. The emotional signal comes fast, while the explanation arrives later - once you’ve had time to reflect and connect the dots.",""
"EP-A2A7-BASE-005.v2","Your emotions can be the first indicator that something matters, even before you can justify it logically. Over time, you usually find the reason underneath the feeling.",""
"EP-A2A7-BASE-005.v3","For you, emotional clarity often precedes mental clarity. You may not be able to explain your reaction immediately, but your system is often pointing to a real need or boundary.",""
"EP-A2A7-BASE-006.v1","You can be emotionally open, but usually on your own terms. You may share the truth of what you feel only once you trust the space won’t demand more from you than you’re ready to give.",""
"EP-A2A7-BASE-006.v2","You tend to protect your softer feelings until you’re sure they’ll be received with respect. This can look reserved, yet it often comes from valuing emotional safety, not from lack of depth.",""
"EP-A2A7-BASE-006.v3","Vulnerability for you is selective. You may test the environment first - small signals of trust - before you reveal what’s actually going on inside.",""
"EP-A2A7-STRESS-007.v1","Under pressure, you may go quiet and emotionally ‘switch to standby.’ It’s not that you feel nothing - your system is reducing input so you can keep functioning.",""
"EP-A2A7-STRESS-007.v2","When there’s too much at once, you might notice a shutdown response: fewer words, less expression, more distance. It can be your way of protecting yourself from emotional overload.",""
"EP-A2A7-STRESS-007.v3","In high - stress moments, your emotions can become harder to access. This can look like detachment, but often it’s a temporary survival strategy that helps you regain control and clarity.",""
"EP-A2A7-STRESS-008.v1","Stress can make your emotional responses sharper and faster. You may react strongly to small triggers, not because they’re ‘small,’ but because your system is already carrying a heavy load.",""
"EP-A2A7-STRESS-008.v2","When pressure builds, you might notice a shorter fuse: irritation, urgency, or sudden intensity. It’s often a signal that your capacity is stretched and needs relief.",""
"EP-A2A7-STRESS-008.v3","In overload, emotions can spike quickly for you. The reaction may feel bigger than the moment, yet it often reflects accumulated strain rather than a single event.",""
"EP-A2A3-STRESS-009.v1","Under stress, you may move into analysis - thinking, replaying, explaining - because it feels safer than sitting with raw emotion. The mind becomes a shield when feelings feel too intense or unclear.",""
"EP-A2A3-STRESS-009.v2","Pressure can pull you into overthinking: searching for the ‘right’ interpretation, the perfect plan, the missing detail. Often it’s your way of creating certainty when emotions feel unpredictable.",""
"EP-A2A3-STRESS-009.v3","When you don’t know what you feel, you might try to solve it mentally. It can help in the short term, but it may also delay the moment when you actually let the emotion register.",""
"EP-A2A6-STRESS-010.v1","In stressful situations, you may focus on keeping the emotional atmosphere stable - smoothing things over, being agreeable, staying ‘easy.’ It can be a way to prevent conflict, even when you’re the one carrying the cost.",""
"EP-A2A6-STRESS-010.v2","Pressure can make you prioritize harmony. You might say yes too quickly or soften your needs, not because they aren’t real, but because tension feels like extra weight when you’re already stretched.",""
"EP-A2A6-STRESS-010.v3","When stress is high, you may take responsibility for everyone’s comfort. It often comes from care, yet over time it can leave your own emotions unspoken and unmet.",""
"EP-A2A1-STRESS-011.v1","Stress can turn your attention inward in a harsh way. You may become more self - critical, tightening your standards and feeling like you may handle everything alone.",""
"EP-A2A1-STRESS-011.v2","When you’re under pressure, you might notice an internal tightening: less patience with yourself, more pressure to be ‘strong,’ and less room to admit what you actually need.",""
"EP-A2A1-STRESS-011.v3","In overload, you may default to self - reliance and inner control. The downside is that support can feel harder to accept exactly when it would help the most.",""
"EP-A2A7-STRESS-012.v1","Stress may come in waves for you: a moment of emotional flooding followed by a strong need to pull back. The retreat isn’t rejection - it’s your system trying to reset after intensity.",""
"EP-A2A7-STRESS-012.v2","When things become too much, you might first feel everything at once and then withdraw to recover. It can be a pattern of intensity followed by distance, aimed at restoring balance.",""
"EP-A2A7-STRESS-012.v3","In high - pressure moments, you may swing between strong emotion and quiet retreat. This can confuse others, yet for you it’s often the fastest path back to steadiness.",""
"EP-A7-RECOV-013.v1","You tend to regain emotional balance in quiet spaces. Time alone isn’t withdrawal for you - it’s how your system resets and finds its natural rhythm again.",""
"EP-A7-RECOV-013.v2","Solitude often helps you recover. Stepping away from stimulation gives your emotions room to settle without needing to be explained or processed out loud.",""
"EP-A7-RECOV-013.v3","When emotions run high, distance and silence can be restorative for you. It’s in these pauses that your inner balance usually returns.",""
"EP-A2-RECOV-014.v1","Emotional balance often returns once you can express what you feel. Talking, writing, or naming the emotion helps it move through instead of staying stuck.",""
"EP-A2-RECOV-014.v2","You tend to recover faster when feelings are given an outlet. Expression doesn’t intensify your emotions - it usually helps them settle.",""
"EP-A2-RECOV-014.v3","You may notice that letting emotions be heard or released is part of how you regulate. once expressed, they lose their grip and make space for clarity.",""
"EP-A7-RECOV-015.v1","Your emotional system often settles through physical movement. Activity helps release built - up tension and brings you back into your body.",""
"EP-A7-RECOV-015.v2","When emotions feel overwhelming, physical action can restore balance. It’s less about thinking things through and more about letting energy move.",""
"EP-A7-RECOV-015.v3","You may notice physical discharge as emotional regulation in your experience. Your A7 axis shapes how this pattern shows up for you.",""
"EP-A2A1-RECOV-016.v1","You often calm yourself from the inside. Reassuring inner dialogue and self - trust help your emotions settle without needing external validation.",""
"EP-A2A1-RECOV-016.v2","Emotional recovery for you can come from grounding yourself internally - reminding yourself that you can handle what’s happening.",""
"EP-A2A1-RECOV-016.v3","When stressed, turning inward with compassion and reassurance can restore your sense of balance more effectively than seeking quick solutions.",""
"EP-A2A6-RECOV-017.v1","Emotional balance often returns when you feel safe with someone else. Being understood or quietly supported helps your system soften and recover.",""
"EP-A2A6-RECOV-017.v2","You may regulate emotions best in trusted connection. Presence and reassurance from others can calm you more than problem - solving.",""
"EP-A2A6-RECOV-017.v3","Knowing you’re not alone with what you feel can be deeply stabilizing for you. Shared emotional space helps restore equilibrium.",""
"EP-A2A7-RECOV-018.v1","You may recover best when you slow the pace and reduce demands. Giving yourself permission to take things step by step helps emotions settle naturally.",""
"EP-A2A7-RECOV-018.v2","You may notice that emotional balance returns gradually for you when pressure eases. clear limits and realistic pacing protect you from repeated overload.",""